energy,ssim_indices,psnr_indices,fidelity
0.8768384,0.4732951,15.454745934722707,30261.059
0.87506276,0.47726074,15.066187794471464,32329.395
0.8736102,0.4881533,16.151845289804182,26911.332
0.8737341,0.4866208,16.132582388568984,27020.135
0.87349045,0.48015776,15.482554412192645,30085.055
0.8711313,0.50222737,16.32017382163401,26195.338
0.8722468,0.48884666,15.82366699348102,28447.223
0.8725477,0.49343586,15.937440208975222,27875.967
0.87133944,0.4918143,15.609088273057775,29465.113
0.87228596,0.4960071,15.844650541520664,28307.213
0.8703258,0.5022209,15.964796001190999,27754.316
0.8704921,0.48631275,15.86166831883398,28250.168
0.8689506,0.49415407,15.569715347651025,29654.094
0.8700621,0.48622683,15.726480906264813,28886.82
0.87023497,0.4787805,15.443523941348307,30301.033
0.8682174,0.49450055,15.334691536909391,30877.633
0.8684358,0.4937271,15.628592577547991,29348.012
0.8684903,0.48914778,15.340461179022558,30860.133
0.86810565,0.501127,16.38776595801851,25917.703
0.86561275,0.511897,16.371451494858483,25982.832
0.86776173,0.50566375,15.90759767770433,28047.54
0.86440384,0.5106059,16.24271062784984,26529.684
0.8647711,0.5106449,16.17479725419175,26815.055
0.8667001,0.49628535,15.886803901129337,28133.877
0.8633599,0.50079924,16.120405802001294,27036.398
0.8637949,0.49592212,16.17470959721392,26806.05
0.8643383,0.50454354,16.3861672411167,25924.094
0.86534154,0.503756,16.122427320039204,27052.459
0.8653189,0.5016323,16.273681420533464,26393.639
0.8637831,0.5028717,16.42904266289304,25737.348
0.86503166,0.5008786,16.509927142254107,25406.504
0.86249804,0.50680214,16.28002601712315,26359.338
0.8644144,0.49791697,16.24773425331561,26508.023
0.8630412,0.49923947,15.839259657820943,28348.055
0.86429286,0.4939692,16.134345487076263,26996.207
0.8625808,0.5051444,16.355348094599943,26035.617
0.8635313,0.4898107,15.57566050476286,29604.691
0.8639916,0.49847436,15.807762191693932,28463.09
0.86869484,0.4820648,15.881130907521062,28140.58
0.86540836,0.4928995,16.31343140176906,26252.66
0.86253035,0.5103089,16.786346366308365,24334.656
0.8611042,0.50487167,16.781024378512978,24369.367
0.8634693,0.49200854,15.801692565053091,28520.443
0.8641152,0.49276933,15.952831388929107,27829.285
0.86232066,0.5063711,16.230207629170888,26580.57
0.8613837,0.50645155,16.25271968969519,26503.566
0.8601562,0.50518435,16.53760709935167,25310.83
0.86029565,0.4966149,16.045783097640438,27411.957
0.86206776,0.48489642,15.84964112551079,28312.475
0.86242497,0.4889349,15.691015478026964,29037.57
0.86198354,0.49831304,16.291404686481577,26293.291
0.85958815,0.51177853,16.767072913804743,24417.494
0.8608932,0.5010355,16.388907303202256,25913.895
0.85995555,0.5052779,16.547179604207248,25273.188
0.85956466,0.49573088,16.121501793935263,27056.754
0.86067224,0.49889204,15.641078021987902,29312.922
0.85903615,0.4935428,16.248101817516844,26493.906
0.85640764,0.5175914,16.867393161137798,24009.656
0.8581233,0.5099052,16.40728671761614,25833.172
0.8620134,0.49626216,15.949945764430884,27842.754
0.85823095,0.50621104,16.428201705482685,25756.832
0.86134785,0.50197804,16.50052561075861,25445.55
0.86533266,0.4829979,15.821936229710856,28419.89
0.8595265,0.49241892,16.36305875570377,26021.086
0.85831034,0.50244075,16.85390632366702,24064.037
0.85888064,0.510276,16.78768086873556,24337.162
0.86137205,0.5021027,16.38315370549238,25935.414
0.85759014,0.5178604,16.792703841232875,24290.365
0.8581681,0.504487,16.517635919131067,25369.902
