energy,ssim_indices,psnr_indices
4346.004,0.27639452,22.575710545240725
4422.265,0.27733296,22.50016418929247
4480.919,0.27202857,22.44294066462587
4334.4023,0.27352807,22.58731922543998
4431.6743,0.27875873,22.490933243791563
4326.3564,0.2761241,22.595388406882705
4356.957,0.27426535,22.56477897615465
4308.423,0.27812144,22.613428304258353
4342.083,0.27981767,22.57963020503643
4350.473,0.27525437,22.571246728670257
4314.615,0.27600488,22.607190901083364
4320.534,0.28019968,22.6012374247491
4290.9395,0.27988586,22.63108779223586
4301.5527,0.27798846,22.62035934950997
4285.369,0.2786617,22.636729808253374
4269.9546,0.2816365,22.652379403940305
4261.9346,0.28195438,22.660543813596767
4273.3555,0.2796557,22.648921514628316
4241.304,0.2805867,22.681617555111547
4240.7705,0.28310308,22.682163871255913
4244.2925,0.2828092,22.678558819225344
4218.4565,0.28209028,22.705075973250125
4224.009,0.2828822,22.69936388108269
4221.852,0.28446457,22.701581754182072
4206.4697,0.28463948,22.717434118861846
4210.7295,0.2834126,22.713038711098008
4205.6714,0.28419372,22.71825857760893
4192.5586,0.28603515,22.73182023480361
4190.752,0.28525594,22.733692222239505
4197.7275,0.28432766,22.726469257746245
4169.878,0.28587165,22.7553785887048
4179.468,0.2871535,22.74540194757368
4175.009,0.28617117,22.75003729650313
4166.3345,0.28620693,22.759070544903896
4158.247,0.28780606,22.767508469436983
4166.3203,0.2878094,22.759085034563
4144.7417,0.28775176,22.78163721287857
4142.863,0.28805736,22.783606495071446
4144.3564,0.28876436,22.782040619474984
4134.7896,0.28920996,22.792077725565065
4128.167,0.288905,22.79903938421066
4127.3936,0.289632,22.799852532797683
4130.2705,0.2903167,22.796826745018627
4132.1426,0.29016232,22.794858533159022
4156.5713,0.2898386,22.769259408254822
4224.618,0.29069898,22.698736963233365
4318.9277,0.28744176,22.602852619350507
4257.879,0.2888781,22.664678681212997
4131.1797,0.28982887,22.795870564064167
4179.0913,0.2900072,22.74579306633436
4225.5303,0.2905954,22.697799720313206
4149.829,0.28876734,22.776310109365234
4143.8516,0.2906758,22.782569945496096
4154.743,0.2918878,22.77117006830624
4143.5566,0.2896496,22.78287897487275
