energy,ssim_indices,psnr_indices
7748.909,0.6532457,20.064206267732526
7726.964,0.650915,20.076522803749278
7755.383,0.65914905,20.060579375262115
7846.66,0.65178555,20.009763014687213
8013.0283,0.6589742,19.91864477619639
8306.443,0.6468452,19.762460750651975
7650.011,0.6622057,20.11999112550629
7465.112,0.6609692,20.22624851204824
7485.949,0.6615591,20.214143062409057
7286.0645,0.66933185,20.331681633933975
7364.4976,0.6652562,20.285180721488764
7259.9834,0.67015046,20.347255396564496
7031.177,0.6743393,20.486331470041527
7094.5435,0.67306525,20.447367351301217
7136.0938,0.6743481,20.42200635722122
7313.328,0.67023426,20.315461503399955
7370.8677,0.67154884,20.281425776768497
7303.468,0.6708917,20.321320613679738
6976.5615,0.6768299,20.520197378160184
6752.549,0.6846983,20.661934365252975
6853.031,0.6811421,20.597784768759677
6742.7324,0.6858123,20.668252572116877
6625.8833,0.6889108,20.744173925844258
6595.2954,0.6903939,20.764269301789685
6555.0693,0.6908718,20.790838779135875
6515.0063,0.6954989,20.817463446080104
6707.5615,0.69056606,20.690964999089697
7135.339,0.69302005,20.422465625808755
7888.9497,0.6799739,19.986419941075194
7449.8184,0.68758416,20.23515499703852
6482.8447,0.69295007,20.838955493932197
6689.0557,0.6928253,20.702963758666023
6644.2686,0.6972678,20.732139845529545
6259.96,0.7004824,20.99089642621495
6530.1284,0.69697577,20.807394325528776
6209.31,0.70653105,21.026178251888354
6425.461,0.7008917,20.877568831275227
6400.9844,0.7046499,20.89414411285333
6518.785,0.6973801,20.814944880708367
6345.4507,0.707766,20.9319871151467
6122.618,0.70515615,21.087239819628994
5863.967,0.7134425,21.27469687221837
5887.0273,0.71546525,21.257651164920564
5966.7007,0.7127469,21.19926938652295
5930.2837,0.7168066,21.225857148932832
5812.6074,0.71704227,21.312901910166993
5773.677,0.7190537,21.342087275170556
5865.808,0.7183955,21.27333296164785
6039.1323,0.7135059,21.14686635153234
5977.7676,0.71693325,21.19122162625318
5775.8945,0.71991843,21.34041926231562
5591.1016,0.7237954,21.481638109780476
5621.9883,0.7264221,21.457712417861377
5546.2334,0.7262423,21.51663036908941
5311.842,0.7316353,21.70416041311819
5416.3027,0.73194796,21.619582708753043
5391.162,0.7315001,21.639788069845025
5215.8887,0.73677653,21.783328618837615
5204.6987,0.7375131,21.792655759303898
5276.7266,0.7364504,21.732966078991808
5279.416,0.7376251,21.73075290043231
5298.782,0.73778385,21.71485119037218
5419.994,0.734818,21.616623923970586
5403.0557,0.7380325,21.630217090866704
5527.63,0.73401594,21.53122199549841
6022.385,0.7391742,21.158926656854614
7268.702,0.7092603,20.342043047761376
5751.497,0.7295213,21.358802995211242
6174.7144,0.7261397,21.05044290494449
5738.909,0.7242133,21.36831837554122
5724.23,0.7306705,21.37944106173101
5498.635,0.7345998,21.554063037251602
5591.4106,0.73271626,21.481397841676117
5283.788,0.7391178,21.727158046423718
5341.059,0.7410553,21.680337942284673
5174.7373,0.7421148,21.81772844898926
5075.8438,0.74443483,21.901529360075266
5070.3433,0.7460912,21.90623816355115
4904.616,0.748918,22.0505611389492
4905.3765,0.75012666,22.0498884423286
4814.3135,0.75359946,22.131268365933327
4751.54,0.7550289,22.188267447808787
4711.8804,0.7559717,22.22466925888942
4647.7925,0.75866944,22.284144360232787
4596.6016,0.760484,22.332243150376883
4548.8975,0.7613116,22.377550021678726
4504.744,0.7634805,22.419910644628615
4450.8687,0.7655532,22.47216369202914
4439.6455,0.766293,22.483128991087273
4376.0225,0.76839656,22.54581665762001
4342.3643,0.76908857,22.579348895093215
4335.1694,0.76966906,22.586550680976284
4299.63,0.7717619,22.622301118478486
4338.373,0.77203494,22.583342845231837
4465.672,0.76939344,22.457743108531353
4723.819,0.76420385,22.213679550344526
4966.5,0.75957656,21.996107837814076
4771.978,0.7608436,22.169627476402983
4303.424,0.7743604,22.61847070640067
4682.0293,0.7655576,22.25227090229137
4600.456,0.77120477,22.32860289824339
4521.745,0.769547,22.403551209817294
4742.895,0.77240634,22.196177008871807
4515.1455,0.7703917,22.4098945138173
