mse,ssim_indices,psnr_indices
0.013117555,0.64734995,19.725141180007622
0.013343303,0.64585024,19.633442165559195
0.013990581,0.63883764,19.38390008490224
0.013274325,0.6467523,19.65962602402719
0.013670087,0.647165,19.506239108305238
0.014014594,0.64641684,19.374232378022036
0.012696656,0.6483201,19.902488246645497
0.012844595,0.6507638,19.839704356553792
0.012877351,0.6491847,19.825496993945954
0.012867188,0.646491,19.832199470361086
0.012518754,0.6526184,19.978906631227336
0.013705254,0.6540689,19.49510942116263
0.01330851,0.6475913,19.646541676259773
0.013204927,0.64444155,19.687756497982953
0.014539868,0.64250696,19.18060593253399
0.014046101,0.6444519,19.364184390237273
0.012990691,0.65095824,19.779223118279134
0.014881773,0.6467817,19.059253350656498
0.014299731,0.6442268,19.266949297226564
0.0128540415,0.649697,19.833056089918607
0.0137867285,0.65177685,19.463725102621478
0.01359202,0.6508873,19.537212862094233
0.014147719,0.6494818,19.323078156287774
0.013101552,0.6444504,19.731270332723383
0.013254496,0.6426924,19.66882478236957
0.014302617,0.6405181,19.26604650702959
0.013888523,0.64321226,19.422284401997445
0.01411385,0.6501488,19.337029601822525
0.013172753,0.6511193,19.70404397136551
0.012830222,0.6489174,19.845889716514904
0.013418896,0.6454216,19.60297454002265
0.013235978,0.6502271,19.677702113539752
0.013405798,0.6538003,19.610253355389766
0.0144676715,0.6543662,19.20812571672397
0.012704782,0.6508288,19.896807816570128
0.014144852,0.64576226,19.324987661584192
0.012710668,0.6479491,19.89404586117378
0.013676034,0.6411193,19.50241731599591
0.014261626,0.64013815,19.28267400335217
0.013110573,0.64519715,19.727586463820703
0.013178332,0.6431322,19.699705240241066
0.013437934,0.6462026,19.59545401709908
0.014028458,0.65124744,19.373126931886805
0.0129357865,0.6512791,19.802250428615153
0.013425971,0.65210015,19.601829546909567
0.013339743,0.64743114,19.63670088305413
0.012316581,0.64698714,20.064867589094078
0.0133573,0.65075773,19.631910844200554
0.0135319885,0.64093745,19.561143106074873
0.01334327,0.652036,19.637998968183343
0.013544802,0.64992946,19.552800642878726
0.013153149,0.645863,19.715069914304703
0.01284501,0.6510209,19.838242033803972
0.012857493,0.64691085,19.83423435452697
0.01377809,0.64889455,19.463998107808184
0.012697588,0.6491696,19.902278098984553
0.012428078,0.65420246,20.015626527979077
0.012023716,0.6523009,20.195371810696262
0.0117929075,0.651699,20.302485125307832
0.014009263,0.6433268,19.379083712166175
0.013009983,0.64302087,19.770192751804956
0.013305801,0.64248025,19.64969962147214
0.0120199425,0.6534428,20.200341728371342
0.013135107,0.65080255,19.719319972613555
0.014094129,0.6542762,19.343620236696772
0.01268011,0.65045905,19.90571255334695
0.012237056,0.6550048,20.102132806464418
0.013106897,0.64388543,19.73214463493602
0.012373532,0.648202,20.04138996550686
0.011480989,0.6546386,20.450408193540014
0.01360585,0.64723474,19.53129277704854
0.0119595975,0.64993477,20.228156500845536
0.012631973,0.6539223,19.928361992197622
0.012051668,0.65331435,20.185175930661387
0.011890022,0.6535874,20.258550502477803
0.012046559,0.6556706,20.185754460890564
0.011903856,0.65218025,20.25095277519135
0.011903539,0.65182376,20.251896171394392
0.011987209,0.6529941,20.215808066189325
0.01245912,0.6522541,20.001301522987962
0.011700923,0.65513325,20.346840774533703
0.01273061,0.6497107,19.888609817402564
0.01170126,0.65299344,20.344793342464115
0.013776958,0.64565754,19.465992060833074
0.011580333,0.6512658,20.401762431776618
0.012554581,0.6559708,19.96285423584037
0.012855215,0.6435278,19.832435508807286
0.012033567,0.6540311,20.191307698033015
0.01188213,0.6543291,20.261285123289525
0.015236288,0.6455762,18.940111870713004
0.013627656,0.6544575,19.522944472682326
0.013889566,0.64263314,19.42053789193841
0.015009107,0.6380549,19.014710337189474
0.013366441,0.64206856,19.62373090505885
0.013460806,0.65137523,19.586938206301554
0.013096789,0.6509705,19.735358656166447
0.013414404,0.6520253,19.606403105447345
0.013663481,0.65308684,19.511499341055508
0.014152428,0.6535871,19.324228758111804
0.013021044,0.64814717,19.766075819915418
0.012501962,0.6475122,19.9848091463141
0.012951024,0.6478469,19.79411648048642
0.012548229,0.6468378,19.96506263436412
0.01178903,0.6505812,20.30366404786395
0.012412056,0.64702827,20.022498852578767
0.012685284,0.65123034,19.91053860123893
0.0120961135,0.6529173,20.16651881422427
0.012843768,0.6514171,19.836921936986446
0.012524247,0.654851,19.975663901250126
0.011998127,0.65703785,20.211318511169686
0.012245885,0.6528564,20.096482280183317
0.012574082,0.653733,19.95333204095394
0.0124454405,0.65244895,20.011619569282754
0.011814351,0.6524362,20.29422405109292
0.013037294,0.6457225,19.75744294914067
0.011427792,0.65512115,20.478330730286647
0.012574016,0.65064186,19.953001420053603
0.011732133,0.65543777,20.33168006717366
0.012414276,0.6466741,20.02198505921355
0.012596569,0.650264,19.947509952906238
0.01250907,0.6503461,19.98165471616491
0.012584767,0.65365887,19.950215842508168
0.011968877,0.6550768,20.221517521119893
0.013477212,0.644113,19.58032824786206
0.012297383,0.6506999,20.07444723137564
0.011746153,0.6520817,20.32538821853437
0.011438554,0.65444726,20.471566214294782
0.012144874,0.64957386,20.142677410621765
0.0123990625,0.65341824,20.028218397673918
0.011641724,0.65447205,20.376027382757567
0.011472031,0.6577325,20.454441012579657
0.0111177815,0.6578755,20.629527200756176
0.012305382,0.65150946,20.07024515539456
0.011537975,0.6567191,20.423368589407048
0.012107781,0.648143,20.157268942177918
0.011401601,0.6561947,20.490199172098773
0.012253272,0.65755576,20.09516569073869
0.011834826,0.6556582,20.285410813083704
0.011362759,0.6536531,20.50979996936523
0.013035027,0.6447875,19.75952628469021
0.011310878,0.65368587,20.534013395955625
0.01152769,0.6560845,20.43031686973307
0.012226115,0.6575269,20.105356388055938
0.011800638,0.6551857,20.298547179426855
0.0115933865,0.65604305,20.394868344282237
0.011978741,0.65575606,20.2143902480376
