loss,ssim_indices,psnr_indices
-5.664114,0.22679514,16.104968229534805
-5.685558,0.22412561,16.226422748949023
-5.6890907,0.22774273,16.254465541365782
-5.674721,0.22722685,16.09421812367819
-5.6637897,0.226452,16.018506037237415
-5.648626,0.22581302,15.96150824059029
-5.6664953,0.22897868,16.066681261272485
-5.644127,0.22594517,16.01417490003596
-5.6588917,0.23052454,16.090045384863046
-5.7000365,0.23700754,16.425530825031416
-5.6789055,0.22587626,16.324983384425792
-5.6586847,0.22065689,16.170397232799672
-5.630042,0.22876935,15.882414415678344
-5.702434,0.2299211,16.51134343775016
-5.684513,0.23004103,16.36677278993283
-5.7042212,0.22761364,16.49602976068332
-5.692627,0.23261102,16.347681407786233
-5.680246,0.22829731,16.19785163242381
-5.691184,0.2299362,16.314313136967336
-5.709688,0.23211725,16.425815635227558
-5.6531315,0.22687538,15.999798950410964
-5.654891,0.23039807,16.01337208097233
-5.698999,0.23123883,16.468839404032497
-5.6730113,0.23321414,16.216269282511927
-5.6974096,0.22670221,16.429884869414572
-5.6967287,0.22859229,16.470596591238987
-5.6938696,0.23047626,16.401561701119313
-5.698782,0.22934198,16.412140100348743
-5.720218,0.23405717,16.597516296619563
-5.685898,0.23006673,16.372658566957426
-5.714878,0.22686468,16.578359765683757
-5.703943,0.22928314,16.40360241330364
-5.6951036,0.22537242,16.363987617234447
-5.6926665,0.23116203,16.234854560778118
-5.712854,0.22339118,16.476999944604987
-5.7080474,0.2287863,16.445965284067036
-5.699479,0.22640479,16.388509160733765
-5.6966815,0.23057665,16.34221339701427
-5.704193,0.22619359,16.449447273335135
-5.683248,0.22687478,16.173503664879057
-5.7194495,0.22795756,16.594967174742944
-5.687812,0.226452,16.27559790961432
-5.721759,0.22771047,16.610178577453656
-5.712369,0.2284023,16.505570942305045
-5.691328,0.23448516,16.25201546621338
-5.7133293,0.22545563,16.56822645896804
-5.708701,0.2293344,16.374453480959595
-5.700715,0.22795488,16.364519159547633
-5.721002,0.22985835,16.54901128916955
-5.7125654,0.22774844,16.436867674114254
-5.7123923,0.22043912,16.483108144336796
-5.6810474,0.22664015,16.175606644035728
-5.7094054,0.22489506,16.34466209601186
-5.7137256,0.22745614,16.482694013406245
-5.723911,0.22495867,16.563081412113025
-5.695877,0.22703831,16.3151314327827
-5.7210455,0.23092173,16.579248366664338
-5.715762,0.23564701,16.49460240367515
-5.6916747,0.22962151,16.329634719794463
-5.700155,0.23352091,16.435188859511555
-5.7005844,0.23519282,16.485867800675344
-5.7166076,0.23587035,16.565497571128216
-5.712011,0.2350807,16.600439013713274
-5.72079,0.23566878,16.66447401146268
-5.722208,0.23351471,16.687109115743763
-5.693839,0.237651,16.371924186498795
-5.6910796,0.23856242,16.39050857742419
-5.7110415,0.23873456,16.63153631023607
-5.703111,0.24011302,16.48352581741242
