mse,ssim_indices,psnr_indices
0.02698724,0.5075055,17.706147923416346
0.027400669,0.5046774,17.603263023723706
0.026979417,0.5064783,17.708392611673457
0.026548415,0.51324177,17.81960426370808
0.02678109,0.5058081,17.758463004527854
0.02753084,0.50220746,17.569345233908194
0.02802038,0.5025864,17.449951332148977
0.026901653,0.50952286,17.733717978912125
0.026715955,0.50672626,17.774648299833352
0.027658895,0.5023275,17.541826667802887
0.026779413,0.5060382,17.762423474312527
0.027732423,0.49987373,17.518223176204234
0.027182005,0.5029542,17.6570326849589
0.026539396,0.5104444,17.821426061635886
0.026753563,0.5086336,17.767933039075167
0.026865108,0.5065729,17.74209188382351
0.026114836,0.5122936,17.933133218214
0.026738178,0.50763816,17.765527455074526
0.025819238,0.5141101,18.019267037832094
0.026631981,0.51052505,17.79673477919721
0.027293831,0.50589585,17.631976070752494
0.027208542,0.5057634,17.65006331646066
0.026819136,0.5085687,17.75052075404236
0.025536802,0.5119147,18.094911700170144
0.026474154,0.5068415,17.84423911558637
0.027027331,0.50707525,17.6900735640371
0.02682817,0.5085674,17.7470601066603
0.026441682,0.5101419,17.84905542399872
0.025752064,0.5122623,18.035182241973068
0.027173828,0.5063228,17.660486961396007
0.027414715,0.50421387,17.59766992984572
0.02670389,0.50668836,17.7823231653411
0.026630698,0.5052921,17.802687116333498
0.026635736,0.50745505,17.80203036813077
0.025777973,0.51155305,18.026437614385117
0.02735082,0.5049546,17.617207343068195
0.026730832,0.51413125,17.77352483702932
0.026346644,0.5112056,17.872877631789414
0.025486462,0.5156657,18.107473491301274
0.025496325,0.5136758,18.10577764253169
0.025422525,0.5157012,18.124032229965536
0.025962416,0.512403,17.97244774302262
0.02653217,0.51241374,17.82205583206731
0.025322637,0.5103584,18.16053641504525
0.025917813,0.5141957,17.986568991303027
0.026149748,0.51406056,17.92658668054206
0.025325691,0.52190715,18.155377483387657
0.026420563,0.51110435,17.85404602772211
0.024519026,0.52114,18.38962972498419
0.02616179,0.5085128,17.92991218600595
0.024825064,0.5160759,18.305487292447427
0.024804315,0.51764303,18.30983623109794
0.025138952,0.5179967,18.20555427469249
0.0244654,0.520649,18.405717652510017
0.024778452,0.5181977,18.31124515309628
0.02464543,0.5196774,18.34524552003793
0.024610989,0.5233477,18.360740013435507
0.02445974,0.52289534,18.404301509174964
0.024747029,0.5187126,18.321681610967808
0.02571436,0.51934993,18.04656001440174
0.024867749,0.51573914,18.287051226231263
0.02513147,0.519443,18.20908603876222
0.02531897,0.51911277,18.156948249186847
0.024637556,0.5200425,18.353534886460466
0.02428639,0.5224187,18.459716447786818
0.023961237,0.52596635,18.558787438958525
0.023812946,0.52357256,18.607102377751062
0.024042629,0.5249548,18.532236514171682
0.024131082,0.52445394,18.514570447476938
0.024559623,0.5214645,18.382164702822507
0.023896646,0.52844125,18.581936291967466
0.024715608,0.51775974,18.333973832571928
0.024297556,0.5248916,18.455893462425355
0.023693085,0.5252612,18.644387364506528
0.023801345,0.52232856,18.613686790287943
0.023245512,0.5263821,18.787323521255946
0.024155006,0.52127177,18.502705148820468
0.023731828,0.5238464,18.6366973162229
0.023797994,0.5213196,18.613828773973008
0.02369481,0.52530915,18.64686939643721
0.023841588,0.527605,18.59913830470535
0.024204528,0.5205057,18.48285018178705
0.023612386,0.5293465,18.669410366956463
0.023481995,0.53236717,18.7102293569659
0.024048932,0.5301896,18.52684568895446
0.023119763,0.53334016,18.829861256193528
0.023198888,0.5338779,18.79727994177035
0.02281968,0.5349249,18.923727361212915
0.023279235,0.53177166,18.776019004307717
0.022898115,0.5306149,18.898731880168633
0.022862053,0.53099704,18.915787545431847
0.02421628,0.517511,18.476646151978162
0.0230021,0.53299713,18.864858556374923
0.023246964,0.53458065,18.79274772383334
0.023934022,0.5245636,18.563989715597003
0.023563575,0.5267791,18.684559356266288
0.022690568,0.5356774,18.97171827080083
0.022402665,0.5356856,19.073721619089532
0.023249244,0.5293364,18.785368095713014
0.023376612,0.52917355,18.743331310142302
0.02254138,0.5405107,19.02069369869713
0.022825524,0.53201014,18.92539981909925
0.022005238,0.5385062,19.21128248805744
0.022862118,0.53197765,18.911492120070562
0.022063082,0.53550637,19.193091808471156
0.02276969,0.5330203,18.94759824821566
0.023136016,0.53660566,18.816218319767625
0.022424053,0.5333618,19.071006225472058
0.021975067,0.5381067,19.223302689989115
0.022728391,0.5308227,18.963484012883466
0.022256996,0.5376861,19.123415400795615
0.02298367,0.5348787,18.873124306113983
0.023163766,0.5304209,18.818947509794423
0.02256108,0.5364916,19.019274535705648
0.022731064,0.53701454,18.950512371197963
0.022297692,0.53802913,19.106412585460067
0.02173841,0.5452232,19.310825946257054
0.02210385,0.5397366,19.1783907153242
0.02281422,0.532899,18.926864145414164
0.021616783,0.53640217,19.355604664246552
0.022874564,0.53434753,18.904855728765856
0.022269106,0.5360592,19.1188085031231
0.02219835,0.5377925,19.14278374187768
0.02196382,0.54011935,19.2306331002815
0.021665622,0.5440779,19.33847164602271
0.0219118,0.5403937,19.245422718584248
0.021727975,0.5439728,19.319343324651687
0.022443589,0.53535,19.06206148159845
0.021514943,0.5447269,19.394602955652246
0.02091473,0.5491287,19.629906931275446
0.021526087,0.54127926,19.389731611365363
0.021984871,0.53902704,19.22426609114214
0.021420216,0.54328465,19.423943733742288
0.021858908,0.5421191,19.262198354773016
0.020988403,0.5468256,19.6015921434241
0.021324795,0.54457235,19.465462073919397
0.021701232,0.54469603,19.32321725556173
0.021471485,0.5464057,19.405127222613878
0.0212451,0.5426065,19.502974767144675
0.021027975,0.54925543,19.58193110291984
0.0209439,0.5494692,19.607595821014783
